Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2015",,,,,,,,,,,,, release date: 9/29/2017
,,,,,,,,,,,,,
"SOURCE: 2015 County Business Patterns.  For information on confidentiality protection, sampling error, and nonsampling error, see http://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,,,
"For definitions, see http://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,,,
FIPS  CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,,,,
29,Missouri,04:  10-19,"11,619","12,177","154,541",G,"5,284,246",G,,,,,
29,Missouri,05:  <20,"107,503","108,352","396,668",G,"13,280,395",G,,,,,
29,Missouri,06:  20-99,"11,119","14,686","418,376",G,"15,499,173",G,,,,,
29,Missouri,07:  100-499,"2,746","7,882","333,295",G,"14,382,279",G,,,,,
29,Missouri,08:  <500,"121,368","130,920","1,148,339",G,"43,161,847",G,,,,,
29,Missouri,09:  500+,"3,020","27,271","1,293,977",G,"65,973,681",G,,,,,
30,Montana,01:  Total,"32,222","37,270","375,041",G,"14,227,065",G,,,,,
30,Montana,02:  0-4,"20,254","20,279","31,161",G,"1,093,207",G,,,,,
30,Montana,03:  5-9,"5,245","5,282","34,488",G,"1,045,847",G,,,,,
30,Montana,04:  10-19,"3,090","3,239","41,014",G,"1,286,335",G,,,,,
30,Montana,05:  <20,"28,589","28,800","106,663",G,"3,425,389",G,,,,,
30,Montana,06:  20-99,"2,236","2,963","79,105",G,"2,630,528",G,,,,,
30,Montana,07:  100-499,521,"1,597","58,900",G,"2,261,250",G,,,,,
30,Montana,08:  <500,"31,346","33,360","244,668",G,"8,317,167",G,,,,,
30,Montana,09:  500+,876,"3,910","130,373",G,"5,909,898",G,,,,,
31,Nebraska,01:  Total,"42,993","53,719","870,279",G,"36,967,924",G,,,,,
31,Nebraska,02:  0-4,"25,106","25,142","41,000",G,"1,430,787",G,,,,,
31,Nebraska,03:  5-9,"6,977","7,064","45,808",G,"1,487,901",G,,,,,
31,Nebraska,04:  10-19,"4,386","4,626","58,288",G,"1,943,151",G,,,,,
31,Nebraska,05:  <20,"36,469","36,832","145,096",G,"4,861,839",G,,,,,
31,Nebraska,06:  20-99,"3,955","5,382","145,069",G,"5,304,760",G,,,,,
31,Nebraska,07:  100-499,"1,016","3,137","116,580",G,"4,880,985",G,,,,,
31,Nebraska,08:  <500,"41,440","45,351","406,745",G,"15,047,584",G,,,,,
31,Nebraska,09:  500+,"1,553","8,368","463,534",G,"21,920,340",G,,,,,
32,Nevada,01:  Total,"50,562","63,383","1,129,965",G,"46,595,673",G,,,,,
32,Nevada,02:  0-4,"29,093","29,141","43,717",G,"2,351,489",G,,,,,
32,Nevada,03:  5-9,"7,831","7,901","51,716",G,"1,899,468",G,,,,,
