"Number of Firms, Number of Establishments, Employment, Annual Payroll, and Receipts by Enterprise Employment Size for the United States and States, Totals:  2007",,,,,,,,,,,
,,,,,,,,,,,
"SOURCE: 2007 County Business Patterns and 2007 Economic Census.  For information on confidentiality protection, sampling error, and nonsampling error, see https://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,
"For definitions, see https://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,
,ENTERPRISE,,,,,ANNUAL,ANNUAL,,,,
,EMPLOYMENT ,NUMBER,NUMBER OF,,EMPLOYMENT,PAYROLL,PAYROLL,RECEIPTS,RECEIPTS,,
AREA, SIZE,OF FIRMS,ESTABLISHMENTS,EMPLOYMENT,NOISE FLAG,"($1,000)",NOISE FLAG,"($1,000)",NOISE FLAG,,
,8:   <500,"119,778","129,910","1,207,078",G,"38,547,775",G,"204,398,317",G,,
,9:   500+,"2,795","24,573","1,250,749",G,"52,738,050",G,"348,622,914",G,,
Montana,1:   Total,"33,036","37,755","353,807",G,"10,646,436",G,"69,263,093",G,,
,2:   0-4,"20,653","20,684","32,710",G,"942,386",G,"5,930,833",G,,
,3:   5-9,"5,679","5,720","37,204",G,"916,534",G,"4,849,571",G,,
,4:   10-19,"3,178","3,375","42,038",G,"1,068,927",G,"5,601,905",G,,
,5:   <20,"29,510","29,779","111,952",G,"2,927,847",G,"16,382,309",G,,
,6:   20-99,"2,306","3,149","80,482",G,"2,145,108",G,"12,472,286",G,,
,7:   100-499,469,"1,335","52,814",G,"1,677,240",G,"8,561,870",G,,
,8:   <500,"32,285","34,263","245,248",G,"6,750,195",G,"37,416,465",G,,
,9:   500+,751,"3,492","108,559",G,"3,896,241",G,"31,846,628",G,,
Nebraska,1:   Total,"42,791","52,517","795,545",G,"27,219,151",G,"190,898,289",G,,
,2:   0-4,"24,933","24,965","41,446",H,"1,175,749",G,"7,803,179",G,,
,3:   5-9,"7,225","7,319","47,179",G,"1,199,046",G,"9,630,057",G,,
,4:   10-19,"4,511","4,816","59,859",G,"1,653,618",G,"8,171,817",G,,
,5:   <20,"36,669","37,100","148,484",G,"4,028,413",G,"25,605,053",G,,
,6:   20-99,"3,783","5,341","139,436",G,"4,235,878",G,"23,913,917",G,,
,7:   100-499,953,"2,957","111,193",G,"3,532,530",G,"21,986,532",G,,
,8:   <500,"41,405","45,398","399,113",G,"11,796,821",G,"71,505,502",G,,
